commentId,brewerId,brewerName,date,comment,replyIds
17333,32316,The Asa Phelps,"February 14, 2014  4:56pm","02/12/14 Update:  Kegged this beer and did a taste test with the beer from the gravity check.  Force carbonated with CO2 and a carbonation cap.
First impression: More of an amber ale than a nut brown.  Lacks some roastieness I was hoping for.  The hoppiness of the beer is solid for what I was shooting for.  Tasting again. 02/15/2014",[]
17521,32316,The Asa Phelps,"March 03, 2014  5:07pm",Updated tasting notes in the brew log,[]
