commentId,brewerId,brewerName,date,comment,replyIds
19930,26958,hetyu,"November 08, 2014 10:52pm",Brewed on 2014.11.08 Night - Hop stand trial - 30 mins.,[]
20004,26958,hetyu,"November 16, 2014 10:18pm",Dry hopped today,[]
20332,26958,hetyu,"December 19, 2014 10:07pm","It was socking to taste the 'sourness' of this hop but lately it turned out to be pleasant. Raw but delicate. One of my colls decsribed likes this:
""A habja szépen felfut, de nem túlságosan, emellett kissé törékeny de nyomokban végig megmarad. A szénsavassága közepes, kellemes, talán kissé élénkebben emelhetné az élményt. A színe rozsdabarna, kissé áfonyásan vörös. Illata kellemes, de sajna semmilyen jellegzetességét nem sikerült kivennem. Az íze a fénypont számomra: elsőre és sokadszorra is ""valódi"" (értsd: nem szörpös) málnás aromájú és még savanykásság tekintetében is erre emlékeztet. Összességében nem tulzás állítanom, hogy emlékeim szerint ez volt a legkellemesebb ivósör, amivel valaha találkoztam, raknék belőle egy rakattal nagy-nagy örömmel. """,[]
