commentId,brewerId,brewerName,date,comment,replyIds
18906,35514,darshak,"July 24, 2014 12:38am",O.G. 1.050,[]
18905,35514,darshak,"July 24, 2014 12:38am",Pitched Servomyces at 10 min. Pitched 1.5L starter and one vial at 55 degrees,[]
18896,35514,darshak,"July 23, 2014 10:58am","Double Decoction (modified Hochkurz schedule). Mash in at 143F for an hour, pull a thick decoction and raise it to 158F, holding for 20 minutes. Boil the decoction for about 12-15 minutes and add back to main mash (targeting 158F for mash).  Rest at 158 for another hour. Pull another decoction and boil for 12-15 minutes, adding back to main mash to reach mash out. Batch Sparge.",[]
