commentId,brewerId,brewerName,date,comment,replyIds
20065,60353,Garrett Dahl,"November 21, 2014  6:54pm",This looks like a great recipe...How did it turn out?,['20079']
20079,5009,Travis,"November 23, 2014  6:05am","Hi Garrett, this turned out really, really well. It's a very popular beer amongst my beer buddies. Brew it and enjoy!!",[]
25391,123260,Robin,"October 20, 2017  9:54am",Hello! I am going to do this soon I think. I was wondering if you have any suggestions for a dry yeast substitute? US-04 maybe?,[]
