commentId,brewerId,brewerName,date,comment,replyIds
25246,122327,Hophead 1,"September 02, 2017  4:38pm",Has anyone brewed this? I am contemplating trying it. The IBU's listed seems low for the amount of hops called for and it's pretty much continually hopped throughout the boil. Comments are appreciated.,['25534']
25534,55657,Uylenzijck,"December 06, 2017  8:31pm","Hi Hophead! Sorry for the late reply. 
I brewed two batches of this beer for my wedding day. It was our give away for the guests :)
The results were varying from pretty good to some popping bottles... the overall taste was pretty good, although a bit sweet indeed.",[]
