commentId,brewerId,brewerName,date,comment,replyIds
19594,6683,Bert Derp,"October 08, 2014  2:45am","I forgot the oak.   Nice hint of roast, and dry.   Of course, estery Englishy yeast shows through.  Malty - I should've entered this fucker in whatever contest that LHBS was collecting for a week ago when I bought ingredients for that APA I brewed last weekend.",[]
19595,6683,Bert Derp,"October 08, 2014  2:47am","Fits the BJCP2008 style guides to a ""T"".  
Primarily malty-yeasty with roasty character.   Muted hops, low end fruity esters.   Damn........",[]
