commentId,brewerId,brewerName,date,comment,replyIds
16341,6092,Ken Nelson,"November 28, 2013 12:06am","Marty, I'm in Sturbridge, about 1 mile from Southbridge, I'm interested in the group you have started.
KenN",[]
16351,12486,Marty,"November 29, 2013  1:10pm","Cool, you are more than welcome. I just have no idea how to make that happen",['16489']
16489,6092,Ken Nelson,"December 10, 2013 12:01pm","Well, I think you have sent me an invitation, I'm waiting on approval (from you as group mod??). We need to get some info from the site developers on how to message other members, I'll look into that.
KenN",[]
