commentId,brewerId,brewerName,date,comment,replyIds
23652,7926,dmd53,"April 22, 2016  3:51am",I'm just glad someone has already made this joke. How'd it turn out?,"['23672', '23927']"
23672,14098,Justin Vatz,"April 26, 2016  6:15pm",Just brewed it a week ago so it's still in the fermenter.  Glad you like the joke!  Should be a good brew too.,[]
23927,14098,Justin Vatz,"July 08, 2016  7:21pm","So it was definitely good, but I would add a bit more hops for bittering, thought it came out a little mild. Though it was immediately drank, so would make again.",[]
