commentId,brewerId,brewerName,date,comment,replyIds
17054,1945,chils,"January 26, 2014 12:28am","Looks good Beez. I'll get mine going soon. I've been lax and have 3 kegs blown. Don't think I'm gonna be too active on HBC anymore--just lost interest. You can PM me on HBT as RCCOLA. 
I'll keep ya updated, but be patient. I don't rush my lagers, they're done when they taste good to me.
For mine, I'm just gonna make this beer a little bigger. It was very tasty.  http://www.brewtoad.com/recipes/polotmav-v-epn-czech-session-amber",['18767']
18767,56231,Derek Heussner,"July 10, 2014 10:36pm",where's the updates you promised???,['19051']
19051,1945,chils,"August 04, 2014  8:56pm","https://www.brewtoad.com/recipes/das-dunk
That's the recipe. Beer came out great, dry and easy drinking with a little sweetness from the CaraMunich. Here's a pic: http://i.imgur.com/yVAp7uZ.jpg",[]
