commentId,brewerId,brewerName,date,comment,replyIds
17866,23013,cgeorge,"April 07, 2014  2:11am","Gooseberry.
Red Tart Cherry.
Blackberry.
Blueberry.
Raspberry.
Boysenberry.",[]
18129,23013,cgeorge,"May 10, 2014  3:03am","Racked 1 gal each over:  raspberries, strawberries, blueberries, tart cherries, and tropical mix.
Plus 1/2 gal of regular.",[]
18531,23013,cgeorge,"June 17, 2014 11:51pm",Bottled on 6/15.,[]
20578,62371,David Stelting,"January 15, 2015  5:53am",how did they turn out,['20597']
20597,23013,cgeorge,"January 17, 2015 12:24am",Good.  Takes a while to age out the off flavors from the fruit.,[]
21799,62468,lazarwolf,"April 29, 2015  4:12am",Have you tried it wit out fruit?,[]
