commentId,brewerId,brewerName,date,comment,replyIds
19792,46350,SEATTLEBREWING,"October 26, 2014  9:19pm","This looks good Brad, when are you brewing it?",['19838']
19838,2193,Pooka_NC,"October 30, 2014  9:14pm","Gonna brew this on Nov 3rd, 2014. I'm hoping it turns out as nice as it looks on the recipe. We'll see in about a month or so.",[]
19837,2193,Pooka_NC,"October 30, 2014  9:14pm","Gonna brew this on Nov 3rd, 2014. I'm hoping it turns out as nice as it looks on the recipe. We'll see in about a month or so.",[]
19865,46350,SEATTLEBREWING,"November 02, 2014  6:30am",post tasting notes OK,['19883']
19883,2193,Pooka_NC,"November 03, 2014  5:19pm",Will do. I'll probably do a Review for my Channel and post a link to that.,[]
