commentId,brewerId,brewerName,date,comment,replyIds
20177,58623,Dry County Brewing,"December 02, 2014  6:35pm",racking this on my arrogant bastard clone pie...wish me luck,[]
20176,58623,Dry County Brewing,"December 02, 2014  6:35pm","ferment in Primary, rack to secondary, bottle with 4 ozs priming suger.",[]
20363,58623,Dry County Brewing,"December 22, 2014  9:07pm",Taste good. Not ABastard by any means... I like chinook hops better then the citra. Might try combination of the two next time alternating b/w chinook and citra.,[]
