commentId,brewerId,brewerName,date,comment,replyIds
20464,31370,PolyurethaneCow,"January 03, 2015  9:33pm","should use Wyeast London ESB (1968), but had 1098 on hand,",[]
20465,31370,PolyurethaneCow,"January 03, 2015 10:33pm",attempted to scale this recipe down to a 2.5 gallon batch.  Substituted Horizon for Target due to availability.  Original recipe uses Target.,[]
20466,31370,PolyurethaneCow,"January 03, 2015 11:32pm",added 2 oz of cane sugar at 15 mins left in boil to make up for low pre-extract gravity (1.032),[]
