commentId,brewerId,brewerName,date,comment,replyIds
22514,67304,Christopher,"August 07, 2015  6:12am",Have you brewed this to your liking? Any suggestions? Did you age it on bourbon soaked oak chips?,[]
22532,26841,chrono03,"August 09, 2015  1:08pm",Still on the list of things to brew.. it would have turned out great... if it didnt get infected.. I used some elija craig soaked wood cubes.,[]
22838,70841,Graciany Miranda,"October 25, 2015  7:32pm","It is a great beer, good luck next time.",[]
