commentId,brewerId,brewerName,date,comment,replyIds
22086,19558,skunkbee,"May 29, 2015  8:26pm",How did this turn out?,"['22091', '22092']"
22091,5949,Dana,"May 30, 2015  2:00pm","Well, for what it is and as best I can remember. Adjusting expectations for this kind of low gravity ale and it's great. Serve it cool and moderately carbonated. I remember preferring the British yeast over the American. I think the fruity yeast contributions  are very important. The American yeast left it pretty uninteresting.",[]
22092,5949,Dana,"May 30, 2015  2:01pm",Do you have experience with drinking milds or cask ales?,[]
