commentId,brewerId,brewerName,date,comment,replyIds
17852,23013,cgeorge,"April 06, 2014  1:51am",Kegged on 4/5 (1.015.),[]
17537,23013,cgeorge,"March 05, 2014  2:00am","3/4, very active fermentation...Might have moved upstairs to soon.
Primary was at 45 - 50 degrees.",[]
17529,23013,cgeorge,"March 04, 2014  3:02am","Moved upstairs for diacetyl rest on 3/3/14.
Dry hopped in primary on 3/3/14.",[]
17671,23013,cgeorge,"March 18, 2014  2:53am",Raxked to secondary on 3/17.,[]
17621,23013,cgeorge,"March 14, 2014 12:07am","Back from vacation on 3/13, no fermentation activity.
Moved to garage.",[]
17653,23013,cgeorge,"March 17, 2014  3:17am",Moved into fridge 3/14.,[]
