commentId,brewerId,brewerName,date,comment,replyIds
22721,70005,Philip,"September 16, 2015  8:39pm","Anyway to elaborate on using the Lemongrass? You say 6 each, are you meaning stalks? Did you cut them up and drop them in the secondary? Haven't really used it before but would really like to make a beer like this.",['23308']
23308,1988,Bakaproject,"January 31, 2016  2:06am","I just saw this. I haven't brewed this yet and I was going off of some stuff I read so I can't give you specifics. I would assume stalks and some rough chopping wouldn't hurt.
Let me know if you have brewed this and how it went.",[]
