commentId,brewerId,brewerName,date,comment,replyIds
20508,62159,BH89,"January 08, 2015  1:32pm","Hi, Sorry to ask this, when I come to bottle after secondary, what process do you use?
I haven't really used secondary before so wondering how I go about bottling afterwards. I have done a few recipes that didn't need secondary which are easy to bottle.
Im just wanting to make sure I get the carbonation right.
Thanks in advance.",[]
20510,62159,BH89,"January 08, 2015  4:22pm",Ignore that. I'm talking rubbish. I'm referring to lagering. Rookie error.,[]
