commentId,brewerId,brewerName,date,comment,replyIds
19284,57717,Dodge,"August 26, 2014  8:38pm","So, how close did you come to the original?",['22787']
22787,35263,josteinr,"October 07, 2015  5:11pm","A year too late, lol.. Never brewed this, but the recipe is from the brewery (from what I can remember) so I guess it should be close. Did you try to brew it?",['22801']
22801,57717,Dodge,"October 13, 2015 11:36am","That's ok. :)
I didn't brew it yet, but soon I hope. I don't have much time to brew so I'm using a list. Saison is close. :)",[]
