commentId,brewerId,brewerName,date,comment,replyIds
25584,23013,cgeorge,"December 26, 2017 11:07pm",HBS didn't have Caramel Pils.  Used Skagit Caramel 5 instead.,[]
25586,23013,cgeorge,"December 27, 2017  2:11pm",Used 1/2 tap water & 1/2 distilled.,[]
25594,23013,cgeorge,"December 28, 2017  8:40pm",Pitched on 12/28 on 1/2 the yeast cake from Rasp. Honey Lager,[]
25630,23013,cgeorge,"January 10, 2018 10:56pm",Moved upstairs on 1/10 for D rest.,[]
25659,23013,cgeorge,"January 16, 2018  1:51am",Racked to secondary and dry hopped on 1/15.,[]
25695,23013,cgeorge,"January 28, 2018 12:10am",Kegged and started lagering on 1/27.,[]
