commentId,brewerId,brewerName,date,comment,replyIds
18336,53790,WVHomebrew,"May 31, 2014  8:10pm",This is an experiment on a wee strong ale though it is more of an English than a Scottish ale.,['18347']
18347,54829,grainy,"June 01, 2014  8:15pm","looks like you are pushing the envelope with the  Muntons British Dextrin (Cara-Pils but like you said its an  experiment. 
this one may have to be in the bottle awhile to taste the best.",[]
18344,49508,raiderrob67,"June 01, 2014  3:26pm","sounds like a nice one, cant wait to find out how it come's out.",[]
