commentId,brewerId,brewerName,date,comment,replyIds
25697,23013,cgeorge,"January 28, 2018  7:23pm","Pitched on 1/2 yeast from Bo Pils on 1/28.
Wort and basement at 50F.",[]
25708,23013,cgeorge,"February 04, 2018  5:49pm",Moved upstairs for D rest on 2/4.,[]
25712,23013,cgeorge,"February 07, 2018 12:59am","Moved back downstairs on 2/4.
Moved upstairs on 2/6.",[]
25756,23013,cgeorge,"February 18, 2018  9:34pm",Cold crashed on 2/16.,[]
25765,23013,cgeorge,"February 21, 2018  4:07am",Kegged on 2/20.,[]
