commentId,brewerId,brewerName,date,comment,replyIds
16913,43163,QuasiFandango,"January 15, 2014 12:17pm",This was delicious. Everyone loved it! Definitely making a double batch for next year's Christmas Party since the corny kicked it very early into the evening.,[]
22918,70677,Andy Kleiber,"November 08, 2015  4:52pm","just finished brewing.  OG was high - 1.076.  Wort taste good - spice mix is nicely there, but subtle.",[]
22920,70677,Andy Kleiber,"November 08, 2015  5:17pm","Also, substituted Galena for Cluster on the hops",[]
