commentId,brewerId,brewerName,date,comment,replyIds
20204,4830,Zot O'Connor,"December 07, 2014  6:31am",Hey let me know how this works for you!,['20433']
20433,10659,Bernie Cahill,"December 31, 2014  6:02pm","Brewing tomorrow with my son 1/1/15
FYI-The Clusters hops is an heirloom variety that the dutch brought over and planted in upstate NY. We have cultivated rhizomes for 30 years at our small farmette here passed on by the dutch farmer whom we purchased the house and property from. Pretty cool!!",[]
